TAB, POD,Timp    ,alt       ,ssc_lat,ssc_lon,v    ,pth    ,az     ,pt1_lat,pt1_lon,pt1_srange,pt2_lat,pt2_lon,pt2_srange,p18_lat,p18_lon,p18_srange
 33,  72, 852.401,1786.18884, -3.920,-34.533,1.993,-73.822,116.871,-11.896,-17.945,1950.73932,-13.065,-28.653,1846.17390,-12.766,-15.374,1998.66370
 34,  74, 847.281,1776.38397, -3.941,-34.492,1.995,-73.791,116.865,-11.887,-17.963,1940.18338,-13.061,-28.595,1836.39337,-12.764,-15.383,1988.29222
 35,  76, 842.161,1766.57108, -3.962,-34.450,1.997,-73.759,116.860,-11.878,-17.982,1929.61754,-13.058,-28.536,1826.60947,-12.763,-15.392,1977.91182
 36,  78, 837.042,1756.75009, -3.983,-34.408,1.999,-73.727,116.855,-11.869,-18.000,1919.04134,-13.055,-28.478,1816.82076,-12.762,-15.402,1967.52165
 37,  80, 831.922,1746.92093, -4.004,-34.366,2.001,-73.695,116.849,-11.860,-18.019,1908.45490,-13.053,-28.420,1807.02226,-12.761,-15.411,1957.11790
 38,  82, 826.802,1737.08365, -4.026,-34.324,2.003,-73.663,116.844,-11.851,-18.037,1897.85822,-13.050,-28.364,1797.20296,-12.760,-15.423,1946.65712
 39,  84, 821.682,1727.23822, -4.047,-34.281,2.005,-73.631,116.838,-11.841,-18.056,1887.25124,-13.047,-28.310,1787.36720,-12.759,-15.437,1936.15730
 40,  86, 816.562,1717.38434, -4.069,-34.238,2.007,-73.598,116.833,-11.832,-18.074,1876.63367,-13.044,-28.255,1777.52124,-12.758,-15.451,1925.64423
 41,  88, 811.442,1707.52243, -4.091,-34.195,2.009,-73.566,116.827,-11.823,-18.093,1866.00601,-13.040,-28.201,1767.64989,-12.756,-15.467,1915.09026
 42,  90, 806.322,1697.65210, -4.113,-34.151,2.011,-73.533,116.821,-11.814,-18.112,1855.36772,-13.035,-28.147,1757.76151,-12.753,-15.483,1904.51120
 43,  92, 801.202,1687.77362, -4.135,-34.108,2.013,-73.500,116.816,-11.805,-18.130,1844.71912,-13.030,-28.094,1747.86340,-12.750,-15.499,1893.91957
 44,  94, 796.082,1677.88654, -4.157,-34.064,2.015,-73.467,116.810,-11.796,-18.149,1834.05972,-13.026,-28.041,1737.96301,-12.748,-15.516,1883.31102
 45,  96, 790.962,1667.99094, -4.179,-34.019,2.017,-73.433,116.804,-11.786,-18.168,1823.38963,-13.023,-27.988,1728.05472,-12.747,-15.533,1872.68846
 46,  98, 785.843,1658.08704, -4.202,-33.975,2.019,-73.400,116.799,-11.777,-18.186,1812.70903,-13.020,-27.936,1718.13620,-12.745,-15.551,1862.05310
